story_name	reading_time_min	Author	LastName	Name	country	genera	Wiki_URL	cats	linked_authors	Birth Year	Death Year
Las vocales de colores	1.525	Baroja, Pío	Baroja	Pío	España	Romanticismo	https://es.wikipedia.org/wiki/P%C3%ADo_Baroja	Académicos de la Real Academia Española,Alumnado de la Universidad Central de Madrid,Anticlericales,Anticomunistas de España,Autobiógrafos de España,Escritores de España de la generación del 98,Escritores de aventuras,Escritores del País Vasco,Escritores médicos,Escritores sobre el carlismo,Exiliados del franquismo en Francia,Fallecidos en 1956,Fallecidos en Madrid,Fallecidos por complicaciones cardiovasculares,Hombres,Médicos de Atención Primaria de España,Médicos de Guipúzcoa,Nacidos en 1872,Nacidos en San Sebastián,Novelistas de España del siglo XX,Personas de Vera de Bidasoa,Pío Baroja,Sepultados en el cementerio civil de Madrid	Antonio Machado,Benito Pérez Galdós,Camilo José Cela,Daniel Defoe,Ernest Hemingway,Jacinto Benavente,José Ortega y Gasset,Julio Verne,Miguel de Unamuno,Robert Louis Stevenson,Rubén Darío	1872	1956
Cuánto se divertían	4.935	Asimov, Isaac	Asimov	Isaac	Estadounidense	Romanticismo	https://es.wikipedia.org/wiki/Isaac_Asimov	Alumnado de la Universidad de Columbia,Ateos de Estados Unidos,Ateos judíos,Autobiógrafos de Estados Unidos,Autores ganadores del premio Hugo,Autores ganadores del premio Nébula,Comité para la Investigación Escéptica,Críticos de las religiones,Demócratas de Estados Unidos,Emigrantes soviéticos hacia Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores de ciencia ficción de Estados Unidos,Escritores de divulgación científica,Escritores en inglés del siglo XX,Escritores judíos,Escritores modernos de ficción relacionada con la mitología griega,Escépticos,Fallecidos en 1992,Fallecidos en Manhattan,Fallecidos por sida en Estados Unidos,Hombres,Humoristas de Estados Unidos,Isaac Asimov,Judíos de Estados Unidos,Miembros de Mensa,Miembros de la Academia Estadounidense de las Artes y las Ciencias,Militares estadounidenses de la Segunda Guerra Mundial,Nacidos en 1920,Novelistas de Estados Unidos,Personas de Brooklyn,Polímatas,Profesores de la Universidad de Boston	Arthur C. Clarke,Kurt Vonnegut	1920	1992
Todo lo contrario	0.795	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	https://es.wikipedia.org/wiki/Mario_Benedetti	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	1920	2009
La carne	5.26	Piñera, Virgilio	Piñera	Virgilio	Cuba		https://es.wikipedia.org/wiki/Virgilio_Pi%C3%B1era	Cuentistas de Cuba,Dramaturgos de Cuba,Escritores LGBT de Cuba,Escritores de Cuba,Escritores de literatura fantástica de Cuba,Escritores en español,Escritores gais,Fallecidos en 1979,Fallecidos en La Habana,Gais de Cuba,Hombres,Nacidos en 1912,Nacidos en Cárdenas (Cuba),Poesía moderna,Poetas de Cuba,Premio Casa de las Américas,Prisioneros políticos de Cuba,Traductores de Cuba,Traductores de literatura polaca,Traductores del francés al español,Traductores del polaco al español	Charles Baudelaire,Cintio Vitier,Eliseo Diego,Gastón Baquero,Jorge Luis Borges,José Lezama Lima,Victoria Ocampo	1912	1979
La rana gritona y el león	0.315	Esopo	Esopo		Grecia					Siglo VI AC	
Nada con exceso	0.88	La Fontaine, Jean de	La Fontaine	Jean de	Francia	Romanticismo	https://es.wikipedia.org/wiki/Jean_de_La_Fontaine	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII	Charles Perrault,Giovanni Boccaccio	1621	1695
Margarita o El poder de la farmacopea	2.815	Bioy Casares, Adolfo	Bioy Casares	Adolfo	Argentina	Romanticismo	https://es.wikipedia.org/wiki/Adolfo_Bioy_Casares	Adolfo Bioy Casares,Agnósticos de Argentina,Antifascistas de Argentina,Antiperonistas,Caballeros de la Legión de Honor,Candidatos al Premio Nobel de Literatura,Diaristas de Argentina,Escritores de género masculino de Argentina,Fallecidos en 1999,Fallecidos en Buenos Aires,Gran Premio de Honor de la SADE,Hombres,Liberales de Argentina,Nacidos en 1914,Nacidos en Buenos Aires,Novelistas de Argentina,Premio Internacional Alfonso Reyes,Premio Konex de Brillante,Premio Nacional de Letras (Argentina)	Alain Robbe-Grillet,Augusto Roa Bastos,Francisco Ayala,Franz Kafka,Johann Wolfgang von Goethe,Jorge Luis Borges,Juan Rodolfo Wilcock,Julio Cortázar,Lewis Carroll,Silvina Ocampo,Victoria Ocampo	1914	1999
La niña de los tres maridos	4.025	Caballero, Fernán	Caballero	Fernán	España	Romanticismo	https://es.wikipedia.org/wiki/Fern%C3%A1n_Caballero	Escritoras de España,Escritores católicos de España,Escritores con seudónimo,Escritores costumbristas de España,Escritores de España del siglo XIX,Escritores de Suiza del siglo XIX,Escritores en español del siglo XIX,Españolas del siglo XIX,Fallecidos en 1877,Fallecidos en Sevilla,Folcloristas de España del siglo XIX,Literatura del Realismo,Mujeres,Mujeres novelistas de España,Nacidos en 1796,Nacidos en Morges,Novelistas de España del siglo XIX	Benito Pérez Galdós,Juan Valera,Rosalía de Castro,Washington Irving	1796	1877
Los vecinos del principal derecha	5.155	Jardiel Poncela, Enrique	Jardiel Poncela	Enrique	España	Romanticismo	https://es.wikipedia.org/wiki/Enrique_Jardiel_Poncela	Aforistas,Alumnado de las Escuelas Pías,Antiguos alumnos del Liceo Francés de Madrid,Dramaturgos de España del siglo XX,Dramaturgos de la Comunidad de Madrid,Enrique Jardiel Poncela,Escritores de España de la Generación del 27,Escritores de España del siglo XX,Escritores de Madrid,Escritores en español del siglo XX,Fallecidos en 1952,Fallecidos en Madrid,Hombres,Humoristas de España del siglo XX,Humoristas de la Comunidad de Madrid,Nacidos en 1901,Nacidos en Madrid,Novelistas de España del siglo XX,Premio Nacional de Teatro de España	Manuel Machado,Miguel Mihura,Ramón Gómez de la Serna	1901	1952
El sexo de los ángeles	1.325	Benedetti, Mario	Benedetti	Mario	Uruguay	Romanticismo	https://es.wikipedia.org/wiki/Mario_Benedetti	Fallecidos en 2009,Hombres,Mario Benedetti,Nacidos en 1920	Gabriela Mistral,José Saramago,Pablo Neruda,Rubén Darío	1920	2009
Rumpelstikin	5.535	Anónimo	Anónimo								
